"Joanne Barkan","15439"
"Marjorie Holmes","10343"
"Carolyn Zane","14960"
"Earl Steinbicker","9590"
"Jane M. Lindskold","7451"
"Ian McEwan","154"
"Mary Burton","13187"
"Daniel Wallace","5076"
"New York Public Library","9485"
"Will Weaver","11989"
"A. E. Parker","15410"
"Donald E. Knuth","4142"
"Hannah Hurnard","2479"
"Derek Jacobi","15513"
"Douglas Hofstadter","2427"
"Elie Wiesel","2808"
"Neal Gabler","14323"
"David Wharry","8527"
"Peter (Narrator) MacNichol","5332"
"Marty Fries","879"
"Rosemarie Lennon","13839"
"Janis Abrahms Spring","7643"
"Vera Cleaver","4120"
"Stuart Woods","131"
"Julie Nixon Eisenhower","12955"
"Steven W. Naifeh","12199"
"Morris L. West","9160"
"Richard T. Kaser","7974"
"Judal","14032"
"Karen Harper","4191"
"Marie-Jeanne Durry","693"
"Beth Peck","12728"
"W. R. Owens","11763"
"Sculley Bradley","11518"
"Susan M. McIntosh","1292"
"Richard Vetere","2828"
"Blair Lent","11371"
"Tyrone T. Thomas","8552"
"Emmet Fox","10061"
"David Bergantino","7473"
"Penelope Leach","14665"
"Algis Budrys","14150"
"E. L. Swann","2988"
"Joshua Gilder","12658"
"Craig Joseph Danner","5765"
"Maurice A. Williams","2349"
"Debbie Patterson","8441"
"Slobodan D. Pesic","3506"
"Thyra Ferre Bjorn","14963"
"Meg Tilly","13273"
"Grete Ost","15554"
"Greg Dinallo","7259"
"Robin Maxwell","7899"
"John Davies","10985"
"Michael H","1131"
"Ken Leebow","8341"
"Gay Talese","5480"
"David Congalton","4140"
"Wayne Lesko","10945"
"Millie Snyder","4384"
"Eric Shiraev","12428"
"Steinunn Sigurdardóttir","8622"
"Erika Lopez","4962"
"Hugh Collins","6862"
"Ivan Aralica","5837"
"Elaine Crawford","1114"
"Gene A. Getz","15093"
"Robert Newton Peck","13913"
"Clay Perry","8704"
"M. M. Ragz","6540"
"Hans Loffel","12213"
"John Le Breton","6171"
"Michael Dorris","5586"
"G. William Domhoff","10738"
"Robert W. Snyder","12474"
"John Goldstein","8719"
"Jim Steck","5871"
"F. Scott Fitzgerald","3086"
"Ellen Sussman","7879"
"Dave Barry","330"
"Otto M. Frank","4701"
"Joy Behar","10406"
"Thomas K. Holcomb","2310"
"William Taylor","4037"
"Alisa Craig","14356"
"Geoffrey Caine","11240"
"Robert Ludlum","1704"
"David Poyer","4832"
